City,Province,2020 Census[16],2010 Census[17],% change,source
Qingyuan,Guangdong,1197581,916453,+30.68%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Kaifeng,Henan,1193802,894142,+33.51%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Xianyang,Shaanxi,1192776,730704,+63.24%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Fuyang,Anhui,1191810,780522,+52.69%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Jiaxing,Zhejiang,1188321,762643,+55.82%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Anyang,Henan,1187772,908129,+30.79%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Hengyang,Hunan,1185130,1055964,+12.23%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Rizhao,Shandong,1147175,902272,+27.14%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Dazhou,Sichuan,1135817,678690,+67.35%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Luzhou,Sichuan,1128479,742274,+52.03%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Yueyang,Hunan,1125448,924099,+21.79%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Zhenjiang,Jiangsu,1123813,950516,+18.23%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Baoji,Shaanxi,1107702,871940,+27.04%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Yibin,Sichuan,1100737,708447,+55.37%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Changde,Hunan,1100719,846308,+30.06%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Chifeng,Inner Mongolia,1093068,902285,+21.14%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Huzhou,Zhejiang,1083953,748471,+44.82%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Suqian,Jiangsu,1081559,783376,+38.06%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Wanzhou District,Chongqing municipality,1078149,859662,+25.42%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Bengbu,Anhui,1077704,793866,+35.75%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Lianyungang,Jiangsu,1071019,897393,+19.35%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Lu'an,Anhui,1069940,661217,+61.81%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Zhangjiagang,Jiangsu,1055893,762625,+38.46%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Changzhi,Shanxi,1047461,848227,+23.49%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
