city_name_en,province_en,population_2020,population_2010,population_change_percent,source
Anshan,Liaoning,1480332.0,1504996.0,1.64,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Quanzhou,Fujian,1469157.0,1154731.0,27.23,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Cixi,Zhejiang,1457510.0,1059942.0,37.51,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Tai'an,Shandong,1416591.0,1123541.0,26.08,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Jinjiang,Fujian,1416151.0,1172827.0,20.75,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Nanyang,Henan,1407616.0,899899.0,56.42,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Zhanjiang,Guangdong,1400709.0,1038762.0,34.84,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Guilin,Guangxi,1361244.0,963629.0,41.26,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Yancheng,Jiangsu,1353475.0,1136826.0,19.06,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Zaozhuang,Shandong,1349883.0,980893.0,37.62,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Shangrao,Jiangxi,1342220.0,885740.0,51.54,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Weihai,Shandong,1339645.0,1009491.0,32.7,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Zhangjiakou,Hebei,1339384.0,1180667.0,13.44,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Jiangyin,Jiangsu,1331352.0,1013670.0,31.34,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Maoming,Guangdong,1307802.0,1033196.0,26.58,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Heze,Shandong,1293767.0,725673.0,78.29,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Yichang,Hubei,1284305.0,1049363.0,22.39,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Xinxiang,Henan,1271350.0,918078.0,38.48,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
